,titre,link,speech_type,prenom,nom,date,theme,fonct,unique_id
54,"Déclaration de M. Emmanuel Macron, président de la République, sur les efforts du gouvernement en faveur des personnes handicapées, à Paris le 11 février 2020.",https://www.vie-publique.fr/discours/273380-emmanuel-macron-11022020-personnes-handicapees,Déclaration,Emmanuel,Macron,2020-02-11T12:00:00Z,SOCIÉTÉ,Président de la République,273380
55,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur la diplomatie culturelle et d'influence, à l'Assemblée nationale le 11 février 2020.",https://www.vie-publique.fr/discours/273529-jean-yves-le-drian-11022020-rayonnement-culturel,Déclaration,Jean-Yves,Le Drian,2020-02-11T12:00:00Z,SOCIÉTÉ,Ministre de l'Europe et des affaires étrangères,273529
56,"Interview de M. Christophe Castaner, ministre de l'intérieur, à RTL le 11 février 2020, sur la lutte contre les trafics de drogue, l'augmentation des faits de violence, les djihadistes et le communautarisme.",https://www.vie-publique.fr/discours/273333-christophe-castaner-11022020-politique-gouvernementale,Interview,Christophe,Castaner,2020-02-11T12:00:00Z,INSTITUTIONS,Ministre de l'intérieur,273333
57,"Déclaration de Mme Élisabeth Borne, ministre de la transition écologique et solidaire, sur les enjeux de sécurité liés aux risques industriels et le plan d'actions résultant de l’accident de l’usine Lubrizol, à Paris le 11 février 2020.",https://www.vie-publique.fr/discours/273432-elisabeth-borne-11022020-plan-actions-lubrizol,Déclaration,Elisabeth,Borne,2020-02-11T12:00:00Z,SOCIÉTÉ,Ministre de la transition écologique et solidaire,273432
58,"Interview de M. Julien Denormandie, ministre chargé de la ville et du logement, à BFM Business le 11 février 2020, sur le nouveau mode de calcul de l'APL et le plan de lutte contre les logements vacants.",https://www.vie-publique.fr/discours/273334-julien-denormandie-11022020-politique-du-logement,Interview,Julien,Denormandie,2020-02-11T12:00:00Z,SOCIÉTÉ,Ministre chargé de la ville et du logement,273334
59,"Interview de M. Didier Guillaume, ministre de l'agriculture et de l'alimentation, à Europe 1 le 10 février 2020, sur les pesticides, l'agriculture biologique, la réforme des retraites et les municipales.",https://www.vie-publique.fr/discours/273309-didier-guillaume-10022020-politique-agricole,Interview,Didier,Guillaume,2020-02-10T12:00:00Z,ECONOMIE,Mnistre de l'agriculture et de l'alimentation,273309
60,"Interview de Mme Sophie Cluzel, secrétaire d'État aux personnes handicapées, à France 2 le 10 février 2020, sur les droits des personnes handicapées, la mise en place d'un numéro d'appel et l'insertion professionnelle des handicapés.",https://www.vie-publique.fr/discours/273325-sophie-cluzel-10022020-droits-des-personnes-handicapees,Interview,Sophie,Cluzel,2020-02-10T12:00:00Z,SOCIÉTÉ,Secrétaire d'État aux personnes handicapées,273325
61,"Interview de M. Gabriel Attal, secrétaire d'État auprès du ministre de l'éducation nationale et de la jeunesse, à LCI le 10 février 2020, sur l'affaire Mila et le climat au gouvernement suite au rejet du texte concernant le congé pour deuil parental.",https://www.vie-publique.fr/discours/273384-gabriel-attal-10022020-affaire-mila-climat-actuel-politique,Interview,Gabriel,Attal,2020-02-10T12:00:00Z,SOCIÉTÉ,Secrétaire d'État auprès du ministre de l'éducation nationale et de la jeunesse,273384
62,"Déclaration de M. Emmanuel Macron, président de la République, sur statégie de défense et de dissuasion, à Paris le 7 février 2020.",https://www.vie-publique.fr/discours/273257-emmanuel-macron-07022020-politique-de-defense,Déclaration,Emmanuel,Macron,2020-02-07T12:00:00Z,INTERNATIONAL,Président de la République,273257
63,"Déclaration de M. Christophe Castaner, ministre de l'intérieur, sur la police, à Vélizy le 7 février 2020.",https://www.vie-publique.fr/discours/273308-christophe-castaner-07022020-police,Déclaration,Christophe,Castaner,2020-02-07T12:00:00Z,SOCIÉTÉ,Ministre de l'intérieur,273308
64,"Déclaration de M. Bruno Le Maire, ministre de l'économie et des finances, sur l'innovation technologique dans l'économie française, à Paris le 7 février 2020.",https://www.vie-publique.fr/discours/273355-bruno-le-maire-07022020-innovation,Déclaration,Bruno,Le Maire,2020-02-07T12:00:00Z,SOCIÉTÉ,Ministre de l'économie et des finances,273355
65,"Déclarations de MM. Bruno Le Maire, ministre de l'économie et des finances, et Thierry Breton, commissaire européen au Marché intérieur, sur la souveraineté numérique et la stratégie industrielle de l'Union européenne, à Paris le 7 février 2020.",https://www.vie-publique.fr/discours/273360-bruno-le-maire-07022020-politique-economique-de-lue,Déclarations,Bruno,Le Maire,2020-02-07T12:00:00Z,ECONOMIE,Ministre de l'économie et des finances Thierry Breton,273360
66,"Interview de M. Jean-Baptiste Djebbari, secrétaire d'État aux transports, à Radio Classique le 7 février 2020 sur la mobilisation contre la réforme des retraites.",https://www.vie-publique.fr/discours/273267-jean-baptiste-djebbari-07022020-mobilisation-contre-reforme-retraites,Interview,Jean-Baptiste,Djebbari,2020-02-07T12:00:00Z,SOCIÉTÉ,Secrétaire d'État aux transports,273267
67,"Déclaration de Mme Nicole Belloubet, garde des sceaux, ministre de la justice, sur la nouvelle politique des peines et la lutte contre les violences conjugales, à Paris le 7 février 2020.",https://www.vie-publique.fr/discours/273259-nicole-belloubet-07022020-politique-judiciaire,Déclaration,Nicole,Belloubet,2020-02-07T12:00:00Z,INSTITUTIONS,Ministre de la justice,273259
68,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur le Brexit, à Saint-Malo le 7 février 2020.",https://www.vie-publique.fr/discours/273413-jean-yves-le-drian-07022020-brexit,Déclaration,Jean-Yves,Le Drian,2020-02-07T12:00:00Z,INTERNATIONAL,Ministre de l'Europe et des affaires étrangères,273413
69,"Interview de M. Cédric O, secrétaire d'État au numérique, à France Bleu Pays Basque le 7 février 2020, sur le passe numérique et le déploiement de la fibre et du mobile.",https://www.vie-publique.fr/discours/273260-cedric-o-07022020-internet,Interview,Cédric,O,2020-02-07T12:00:00Z,SOCIÉTÉ,Secrétaire d'État au numérique,273260
70,"Déclaration de Mme Agnès Pannier-Runacher, secrétaire d'État auprès du ministre de l'économie et des finances, sur les allégements de la fiscalité au profit du capital et des entreprises, à l'Assemblée nationale le 6 février 2020.",https://www.vie-publique.fr/discours/273354-agnes-pannier-runacher-06022020-fiscalite,Déclaration,Agnès,Pannier-Runacher,2020-02-06T12:00:00Z,ECONOMIE,Secrétaire d'État auprès du ministre de l'économie et des finances,273354
71,"Déclaration de M. Jean-Yves Le Drian, ministre de l'Europe et des affaires étrangères, sur les énergies renouvelables et la question climatique, à Paris le 6 février 2020.",https://www.vie-publique.fr/discours/273256-jean-yves-le-drian-06022020-energies-renouvelables,Déclaration,Jean-Yves,Le Drian,2020-02-06T12:00:00Z,ECONOMIE,Ministre de l'Europe et des affaires étrangères,273256
72,"Interview de Mme Emmanuelle Wargon, secrétaire d'État auprès de la ministre de la transition écologique et solidaire, à France Info le 6 février 2020, sur la gouvernance des grandes entreprises de l'énergie.",https://www.vie-publique.fr/discours/273373-emmanuelle-wargon-06022020-engie-isabelle-kocher,Interview,Emmanuelle,Wargon,2020-02-06T12:00:00Z,ECONOMIE,Secrétaire d'État auprès de la ministre de la transition écologique et solidaire,273373
73,"Interview de Mme Marlène Schiappa, secrétaire d'État à l'égalité entre les femmes et les hommes, à Europe 1 le 6 février 2020, sur les violences sexuelles dans le patinage artistique, la nomination de Roman Polanski aux César et l'excision en France.",https://www.vie-publique.fr/discours/273242-marlene-schiappa-6022020-violences-sexuelles-patinage-artistique,Interview,Marlène,Schiappa,2020-02-06T12:00:00Z,SOCIÉTÉ,Secrétaire d'État à l'égalité entre les femmes et les hommes,273242
74,"Interview de Mme Nicole Belloubet, garde des sceaux, ministre de la justice, à LCI le 6 février 2020, sur la réforme des retraites concernant les avocats, la critique de la religion et les violences sexuelles dans le monde sportif.",https://www.vie-publique.fr/discours/273249-nicole-belloubet-06022020-avocat,Interview,Nicole,Belloubet,2020-02-06T12:00:00Z,SOCIÉTÉ,Ministre de la justice Elisabeth Matichoux,273249
